10:23:45,035 DEBUG DdlTypeRegistry:63 - addDescriptor(-3, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@d59970a) replaced previous registration(org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@1e411d81)
10:23:45,036 DEBUG DdlTypeRegistry:63 - addDescriptor(4003, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@53b98ff6) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@3e6fd0b9)
10:23:45,036 DEBUG DdlTypeRegistry:63 - addDescriptor(4001, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@7fcff1b9) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@697446d4)
10:23:45,036 DEBUG DdlTypeRegistry:63 - addDescriptor(4002, org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@76adb233) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@36074e47)
10:23:45,037 DEBUG DdlTypeRegistry:63 - addDescriptor(2004, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@36453307) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@7dcc91fd)
10:23:45,037 DEBUG DdlTypeRegistry:63 - addDescriptor(2005, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@66eb985d) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@6a9287b1)
10:23:45,037 DEBUG DdlTypeRegistry:63 - addDescriptor(2011, org.hibernate.type.descriptor.sql.internal.CapacityDependentDdlType@75504cef) replaced previous registration(org.hibernate.type.descriptor.sql.internal.DdlTypeImpl@6c8a68c1)
10:23:45,038 DEBUG JdbcTypeRegistry:56 - addDescriptor(NCharTypeDescriptor) replaced previous registration(CharTypeDescriptor)
10:23:45,038 DEBUG JdbcTypeRegistry:56 - addDescriptor(NVarcharTypeDescriptor) replaced previous registration(VarcharTypeDescriptor)
10:23:45,038 DEBUG JdbcTypeRegistry:56 - addDescriptor(LongNVarcharTypeDescriptor) replaced previous registration(LongVarcharTypeDescriptor)
10:23:45,040 DEBUG JdbcTypeRegistry:56 - addDescriptor(NClobTypeDescriptor(DEFAULT)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
10:23:45,040 DEBUG JdbcTypeRegistry:64 - addDescriptor(2005, ClobTypeDescriptor(STREAM_BINDING)) replaced previous registration(ClobTypeDescriptor(DEFAULT))
10:23:45,043 DEBUG BasicTypeRegistry:376 - Adding type registration null -> org.hibernate.type.NullType@ca66933
10:23:45,043 DEBUG BasicTypeRegistry:380 - Type registration key [null] overrode previous entry : `org.hibernate.type.NullType@3e6104fc`
10:23:45,047 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.DurationType -> basicType@1(java.time.Duration,2)
10:23:45,047 DEBUG BasicTypeRegistry:376 - Adding type registration Duration -> basicType@1(java.time.Duration,2)
10:23:45,047 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.Duration -> basicType@1(java.time.Duration,2)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.OffsetDateTimeType -> basicType@2(java.time.OffsetDateTime,3003)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.OffsetDateTime -> basicType@2(java.time.OffsetDateTime,3003)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.ZonedDateTimeType -> basicType@3(java.time.ZonedDateTime,3003)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
10:23:45,050 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.ZonedDateTime -> basicType@3(java.time.ZonedDateTime,3003)
10:23:45,051 DEBUG BasicTypeRegistry:376 - Adding type registration org.hibernate.type.OffsetTimeType -> basicType@4(java.time.OffsetTime,3007)
10:23:45,051 DEBUG BasicTypeRegistry:376 - Adding type registration OffsetTime -> basicType@4(java.time.OffsetTime,3007)
10:23:45,051 DEBUG BasicTypeRegistry:376 - Adding type registration java.time.OffsetTime -> basicType@4(java.time.OffsetTime,3007)
10:23:45,053 DEBUG TypeConfiguration$Scope:191 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@433e536f] to MetadataBuildingContext [org.hibernate.boot.internal.MetadataBuildingContextRootImpl@89c65d5]
10:23:46,118 DEBUG TypeConfiguration$Scope:203 - Scoping TypeConfiguration [org.hibernate.type.spi.TypeConfiguration@433e536f] to SessionFactoryImplementor [org.hibernate.internal.SessionFactoryImpl@35e98af]
